,ProfileId,Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId
0,D1477391,Dealer,550000,58449,2012,Etios,Maroon,Diesel,Manual,Chennai,1,1
1,D1471040,Dealer,1325000,54468,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6
2,D1477488,Dealer,1300000,51174,2014,Innova,Beige,Diesel,Manual,Chennai,1,6
6,D1474219,Dealer,2000000,44288,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6
7,D1484318,Dealer,1450000,44416,2015,Corolla Altis,Grey,Petrol,Automatic,Chennai,1,1
8,D1481812,Dealer,400000,70000,2006,Corolla,White,Petrol,Manual,Chennai,1,1
9,D1481759,Dealer,2400000,38052,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6
10,D1483840,Dealer,1750000,85935,2013,Fortuner,White,Diesel,Manual,Chennai,1,6
11,D1478258,Dealer,1750000,106204,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6
12,D1477480,Dealer,1050000,131184,2011,Innova,White,Diesel,Manual,Chennai,1,6
13,D1473263,Dealer,1950000,54903,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6
14,D1483843,Dealer,1550000,120274,2012,Fortuner,White,Diesel,Automatic,Chennai,2,6
15,D1472019,Dealer,1600000,73972,2015,Innova,Gold,Diesel,Manual,Chennai,1,6
16,D1441072,Dealer,1000000,159000,2002,Land Cruiser,Silver,Diesel,Automatic,Chennai,3,6
17,D1489027,Dealer,1250000,90859,2013,Innova,Blue,Diesel,Manual,Chennai,1,6
18,D1451575,Dealer,1500000,52000,2014,Innova,Silver,Diesel,Manual,Chennai,2,6
19,D1479702,Dealer,575000,16000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1
20,D1470012,Dealer,550000,73236,2012,Etios,Red,Diesel,Manual,Chennai,1,1
21,D1476667,Dealer,330000,60129,2011,Etios Liva,Black,Petrol,Manual,Chennai,1,3
22,D1482598,Dealer,525000,76176,2009,Corolla Altis,White,Petrol,Automatic,Chennai,1,1
23,D1478125,Dealer,1500000,41793,2014,Innova,Grey,Diesel,Manual,Chennai,1,6
28,D1482603,Dealer,1425000,53083,2013,Innova,Silver,Diesel,Manual,Chennai,1,6
29,D1488163,Dealer,330000,101911,2008,Corolla Altis,White,Petrol,Manual,Chennai,1,1
30,D1482606,Dealer,1525000,57497,2014,Innova,Silver,Diesel,Manual,Chennai,1,6
31,D1476432,Dealer,2450000,34038,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6
32,D1458390,Dealer,2250000,44143,2014,Fortuner,Beige,Diesel,Manual,Chennai,1,6
33,D1487313,Dealer,1520000,57000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6
34,D1482596,Dealer,1900000,69267,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6
35,D1488165,Dealer,1475000,80936,2014,Innova,Gold,Diesel,Manual,Chennai,1,6
36,D1478146,Dealer,1220000,87781,2014,Innova,Grey,Diesel,Manual,Chennai,1,6
37,D1476801,Dealer,725000,139297,2010,Innova,Gold,Diesel,Manual,Chennai,1,6
38,D1482609,Dealer,1425000,109660,2014,Innova,Silver,Diesel,Manual,Chennai,1,6
39,D1467959,Dealer,650000,150000,2006,Innova,Gold,Diesel,Manual,Chennai,2,6
40,D1482608,Dealer,1525000,54482,2014,Innova,Silver,Diesel,Manual,Chennai,1,6
41,D1486422,Dealer,1749999,130000,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6
42,D1476713,Dealer,1300000,8000,2012,Innova,Gold,Diesel,Manual,Chennai,1,6
43,D1483965,Dealer,1375000,38000,2015,Corolla Altis,White,Petrol,Automatic,Chennai,1,1
44,D1469515,Dealer,350000,63000,2011,Etios Liva,Blue,Diesel,Manual,Chennai,2,3
45,D1444560,Dealer,975000,95230,2009,Innova,Beige,Diesel,Manual,Chennai,1,6
46,D1430656,Dealer,1375000,110000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6
47,D1485404,Dealer,790000,42593,2013,Corolla Altis,Gold,Diesel,Manual,Chennai,2,1
51,D1481468,Dealer,1375000,63000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6
52,D1477691,Dealer,1100000,119000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6
53,D1487230,Dealer,1075000,160464,2011,Innova,Beige,Diesel,Manual,Chennai,1,6
54,D1478086,Dealer,810000,157000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6
55,D1481658,Dealer,1150000,205439,2011,Fortuner,Black,Diesel,Manual,Chennai,1,6
56,D1477034,Dealer,1325000,554477,2014,Innova,Red,Diesel,Manual,Chennai,1,6
57,D1479897,Dealer,1100000,119000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6
58,D1488923,Dealer,1210000,118911,2010,Fortuner,Grey,Diesel,Manual,Chennai,1,6
59,D1479892,Dealer,810000,157000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6
60,D1471913,Dealer,1595000,13937,2014,Innova,Gold,Diesel,Manual,Chennai,1,6
61,D1482590,Dealer,1525000,38875,2014,Innova,Grey,Diesel,Manual,Chennai,1,6
62,D1470904,Dealer,1175000,53000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6
63,D1480635,Dealer,1295000,63000,2010,Fortuner,Silver,Diesel,Manual,Chennai,2,6
64,D1472079,Dealer,515000,74295,2011,Etios,Blue,Diesel,Manual,Chennai,1,1
65,D1484422,Dealer,2550000,31218,2015,Fortuner,Silver,Diesel,Automatic,Chennai,1,6
66,D1475704,Dealer,675000,137031,2007,Innova,Maroon,Diesel,Manual,Chennai,2,6
67,D1478142,Dealer,950000,150609,2010,Innova,Gold,Diesel,Manual,Chennai,1,6
68,D1479690,Dealer,225000,80000,2006,Corolla,Black,Petrol,Automatic,Chennai,2,1
69,D1485663,Dealer,670000,120221,2008,Innova,Green,Diesel,Manual,Chennai,1,6
70,D1480751,Dealer,2200000,73000,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6
71,D1480011,Dealer,690000,190000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6
77,D1487127,Dealer,670000,190785,2008,Innova,Green,Diesel,Manual,Chennai,1,6
78,D1471300,Dealer,1275000,183000,2013,Innova,Grey,Diesel,Manual,Chennai,1,6
79,D1456896,Dealer,750000,175000,2008,Innova,Black,Diesel,Manual,Chennai,1,6
80,D1488392,Dealer,625000,50000,2015,Etios,Silver,Diesel,Manual,Chennai,1,3
81,D1471660,Dealer,510000,80000,2011,Etios,Silver,Diesel,Manual,Chennai,1,1
82,D1432863,Dealer,1300000,80000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6
83,D1476303,Dealer,2300000,87398,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6
84,D1406628,Dealer,1400000,119000,2011,Fortuner,Grey,Diesel,Manual,Chennai,1,6
85,D1488486,Dealer,365000,118000,2011,Etios,Black,Petrol,Manual,Chennai,1,1
86,D1471657,Dealer,550000,215000,2006,Innova,Gold,Petrol,Manual,Chennai,2,6
87,D1469777,Dealer,515000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3
88,D1446825,Dealer,465000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3
89,D1484269,Dealer,775000,26883,2017,Etios,White,Diesel,Manual,Chennai,1,1
90,D1449256,Dealer,675000,57698,2009,Corolla Altis,Silver,Diesel,Manual,Chennai,1,1
91,D1485970,Dealer,240000,85000,2006,Corolla,Black,Petrol,Manual,Chennai,1,1
92,D1464202,Dealer,475000,81000,2012,Corolla Altis,Grey,Petrol,Manual,Chennai,1,1
93,D1452256,Dealer,1640000,35296,2015,Innova,Grey,Diesel,Manual,Chennai,1,6
94,D1464755,Dealer,375000,94000,2008,Corolla,White,Petrol,Manual,Chennai,1,1
95,D1474360,Dealer,210000,74000,2004,Corolla,Gold,Petrol,Automatic,Chennai,2,1
100,D1472667,Dealer,1240000,75000,2011,Innova,Gold,Diesel,Manual,Chennai,1,6
101,D1449260,Dealer,675000,90000,2005,Innova,Silver,Diesel,Manual,Chennai,1,6
102,D1486080,Dealer,550000,16000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1
103,D1456760,Dealer,325000,100000,2003,Qualis,Silver,Diesel,Manual,Chennai,3,6
104,D1473532,Dealer,1699999,66200,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6
105,D1465867,Dealer,1275000,92000,2012,Innova,Grey,Diesel,Manual,Chennai,1,6
106,D1469771,Dealer,1175000,116526,2012,Innova,Beige,Diesel,Manual,Chennai,1,6
107,D1479822,Dealer,1300000,18000,2012,Innova,Gold,Petrol,Manual,Chennai,1,6
108,D1457709,Dealer,1175000,94000,2012,Innova,White,Diesel,Manual,Chennai,1,6
109,D1473212,Dealer,625000,52000,2015,Etios,Silver,Diesel,Manual,Chennai,1,3
110,D1471267,Dealer,575000,52000,2009,Corolla Altis,Maroon,Petrol,Automatic,Chennai,1,1
111,D1485964,Dealer,1225000,112000,2012,Innova,Silver,Diesel,Manual,Chennai,1,6
112,D1437785,Dealer,325000,100000,2005,Camry,Silver,Petrol,Manual,Chennai,1,1
113,D1457776,Dealer,1050000,130000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6
114,D1468036,Dealer,749000,151382,2009,Innova,Blue,Diesel,Manual,Chennai,1,6
115,D1468051,Dealer,2200000,87315,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6
116,D1465661,Dealer,975000,150000,2010,Innova,Silver,Diesel,Manual,Chennai,1,6
117,D1437846,Dealer,275000,120000,2000,Qualis,Silver,Diesel,Manual,Chennai,3,6
118,D1486512,Dealer,575000,120000,2007,Innova,Gold,Diesel,Manual,Chennai,2,6
119,D1462812,Dealer,1350000,120000,2013,Innova,Grey,Diesel,Manual,Chennai,1,6
125,D1465745,Dealer,1130000,120000,2011,Innova,Gold,Diesel,Manual,Chennai,1,6
126,D1475683,Dealer,925000,179000,2011,Innova,Silver,Diesel,Manual,Chennai,1,6
127,D1449254,Dealer,1250000,250000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6
128,D1488456,Dealer,450000,39000,2012,Etios,Silver,Petrol,Manual,Chennai,1,1
129,D1487891,Dealer,1345000,40000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6
130,D1487926,Dealer,590000,71500,2013,Etios,Grey,Diesel,Manual,Chennai,1,1
131,D1476425,Dealer,1490000,119000,2011,Fortuner,Grey,Diesel,Manual,Chennai,1,6
132,D1488370,Dealer,685000,220000,2008,Innova,Black,Diesel,Manual,Chennai,2,6
133,S977658,Individual,465000,33000,2013,Etios,Celestial Black,Petrol,Manual,Chennai,1,1
134,S993734,Individual,590000,52000,2016,Etios Liva,Vermilion Red,Diesel,Manual,Chennai,1,3
135,S965558,Individual,540000,65300,2012,Etios,Vermilion  Red,Diesel,Manual,Chennai,2,1
136,S970561,Individual,1550000,27000,2016,Innova,Silver,Diesel,Manual,Chennai,1,6
137,S971072,Individual,1500000,42100,2013,Innova,Silky Gold,Diesel,Manual,Chennai,1,6
138,S999268,Individual,1100000,50364,2008,Innova,Gold,Diesel,Manual,Chennai,1,6
139,S980715,Individual,428000,76000,2012,Etios Liva,Ultramarine Blue,Diesel,Manual,Chennai,1,3
140,S963334,Individual,1800000,55000,2013,Fortuner,,Diesel,Manual,Chennai,1,6
141,S982048,Individual,950020,83000,2010,Fortuner,White,Diesel,Manual,Chennai,3,6
142,S967629,Individual,1000000,95000,2013,Corolla Altis,White,Diesel,Manual,Chennai,1,1
143,S964287,Individual,695000,145000,2008,Innova,Beige,Diesel,Manual,Chennai,2,6
144,S969812,Individual,725000,162000,2009,Innova,,Diesel,Manual,Chennai,1,6
145,S966899,Individual,1800000,125000,2013,Fortuner,Chennai,Diesel,Automatic,Chennai,1,6
146,S969905,Individual,725000,163393,2009,Innova,,Diesel,Manual,Chennai,1,6
147,S985260,Individual,425000,220000,2000,Qualis,Red,Diesel,Manual,Chennai,2,6
148,D1482592,Dealer,775000,33839,2013,Corolla Altis,Silver,Petrol,Manual,Chennai,1,1
149,D1482629,Dealer,435000,78526,2012,Etios Liva,Beize,Diesel,Manual,Chennai,2,3
150,D1482585,Dealer,2500000,32596,2015,Fortuner,Grey,Diesel,Manual,Chennai,1,6
151,D1482614,Dealer,600000,140090,2005,Innova,Blue,Diesel,Manual,Chennai,1,6
152,D1473869,Dealer,1400000,112320,2013,Innova,Grey,Diesel,Manual,Chennai,1,6
153,D1488950,Dealer,350000,78000,2007,Corolla,Silver,Petrol,Automatic,Chennai,1,1
154,D1485022,Dealer,1325000,52000,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6
155,D1472413,Dealer,515000,38000,2013,Etios Liva,Blue,Diesel,Manual,Chennai,1,3
156,D1472420,Dealer,2400000,31000,2014,Fortuner,White,Diesel,Manual,Chennai,1,6
157,D1479142,Dealer,500000,90298,2010,Corolla Altis,Silver,Petrol,Manual,Chennai,1,1
158,D1475141,Dealer,375000,64000,2011,Etios,Silver,Petrol,Manual,Chennai,1,1
159,S958055,Individual,400000,17000,2011,Etios,,Petrol,Manual,Chennai,1,1
160,S982455,Individual,550000,15204,2013,Etios Liva,Symphony Silver,Petrol,Manual,Chennai,2,3
161,S982037,Individual,600000,53000,2012,Etios,Vermilion Red,Diesel,Manual,Chennai,2,1
162,S985523,Individual,550000,53000,2012,Etios,Vermilion Red,Diesel,Manual,Chennai,1,1
163,S998081,Individual,590000,53000,2016,Etios Liva,Vermilion Red,Diesel,Manual,Chennai,1,3
164,S998475,Individual,1600000,25600,2015,Innova,Silky Gold Mica Metallic,Diesel,Manual,Chennai,1,6
165,S990189,Individual,1800000,30000,2016,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,1,6
166,S996835,Individual,1300000,43000,2014,Innova,Silky Gold Mica Metallic,Diesel,Manual,Chennai,1,6
167,S983423,Individual,398000,76500,2012,Etios Liva,Ultramarine Blue,Diesel,Manual,Chennai,1,3
172,S997750,Individual,1200000,61000,2012,Innova,Sand Gold,Diesel,Manual,Chennai,2,6
173,S996793,Individual,1125000,64000,2014,Innova,Black,Diesel,Manual,Chennai,1,6
174,S964792,Individual,700000,80000,2012,Innova,,Petrol,Manual,Chennai,2,6
175,S990762,Individual,240000,94000,2007,Corolla,White,Petrol,Automatic,Chennai,2,2
176,S958751,Individual,400000,88000,2013,Etios Liva,,Diesel,Manual,Chennai,1,3
177,S958631,Individual,800000,80000,2011,Innova,,Diesel,Manual,Chennai,1,6
178,S986006,Individual,2200000,32500,2013,Fortuner,White Pearl,Diesel,Manual,Chennai,1,6
179,S997545,Individual,525000,83500,2009,Corolla Altis,Silver Mica Metallic,Petrol,Automatic,Chennai,3,1
180,S996329,Individual,650000,97200,2007,Innova,Black Mica,Diesel,Manual,Chennai,1,6
181,S997330,Individual,1050000,80000,2011,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,1,6
182,S993220,Individual,200000,110000,2003,Corona,Silver,Petrol,Manual,Chennai,2,1
183,S961206,Individual,1907000,62000,2015,Fortuner,,Diesel,Manual,Chennai,1,6
184,S982532,Individual,695000,105000,2007,Innova,Black Mica,Diesel,Manual,Chennai,1,6
185,S990883,Individual,1050000,87000,2010,Innova,Grey Mica Metallic,Diesel,Manual,Chennai,2,6
186,S998800,Individual,950000,98650,2013,Innova,White,Petrol,Manual,Chennai,2,6
187,S998579,Individual,950000,98652,2013,Innova,White,Petrol,Manual,Chennai,2,6
188,S978132,Individual,1050000,105000,2013,Innova,White,Diesel,Manual,Chennai,1,6
189,S996393,Individual,650000,120000,2005,Innova,Silver Metallic,Diesel,Manual,Chennai,2,6
